THÁNG,NỘI DUNG CHI,PHÂN LOẠI,SỐ TIỀN,DÒNG TIỀN,TÀI CHÍNH
2023.12,mua bàn chải cho khách,Mua đồ hành chính,38.000,Biến phí,Chi phí hành chính
2023.12,hotline san,Mua đồ hành chính,500.000,Biến phí,Chi phí hành chính
2023.12,tiếp phường,Mua đồ hành chính,1.641.000,Biến phí,Chi phí hành chính
2023.12,quà tặng sếp,Mua đồ hành chính,1.783.333,Biến phí,Chi phí hành chính
2023.12,xe quận,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,phạt xe cty,Mua đồ hành chính,350.000,Biến phí,Chi phí hành chính
2023.12,giấy in pano,Mua đồ hành chính,2.100.000,Biến phí,Chi phí hành chính
2023.12,1h giấy test,Mua đồ hành chính,180.000,Biến phí,Chi phí hành chính
2023.12,bình xịt muỗi,Mua đồ hành chính,55.000,Biến phí,Chi phí hành chính
2023.12,cọc ks cho khách Thy thảo,Mua đồ hành chính,566.000,Biến phí,Chi phí hành chính
2023.12,vá xe cty,Mua đồ hành chính,50.000,Biến phí,Chi phí hành chính
2023.12,Thuê máy quay kol,Mua đồ hành chính,1.600.000,Biến phí,Chi phí hành chính
2023.12,Chi phí đào tạo telesale,Mua đồ hành chính,1.333.333,Biến phí,Chi phí hành chính
2023.12,bật lửa,Mua đồ hành chính,80.000,Biến phí,Chi phí hành chính
2023.12,băng keo cá nhân,Mua đồ hành chính,67.000,Biến phí,Chi phí hành chính
2023.12,in bảng giá san,Mua đồ hành chính,182.000,Biến phí,Chi phí hành chính
2023.12,ủng hộ vé ca nhạc kol,Mua đồ hành chính,2.400.000,Biến phí,Chi phí hành chính
2023.12,nước bù khoáng+sủi cho bv,Mua đồ hành chính,250.000,Biến phí,Chi phí hành chính
2023.12,tiền bãi xe nv T12,Mua đồ hành chính,2.280.000,Biến phí,Chi phí hành chính
2023.12,miếng lót chuột,Mua đồ hành chính,64.000,Biến phí,Chi phí hành chính
2023.12,mua thơm đốt,Mua đồ hành chính,75.000,Biến phí,Chi phí hành chính
2023.12,cho phường 9,Mua đồ hành chính,1.666.667,Biến phí,Chi phí hành chính
2023.12,phí cà thẻ T12,Phí cà thẻ,3.547.680,Biến phí,Chi phí bán hàng
2023.12,3 voice off,Mua đồ hành chính,1.200.000,Biến phí,Chi phí hành chính
2023.12,Seeding page,Mua đồ hành chính,1.500.000,Biến phí,Chi phí hành chính
2023.12,khách xem pt,Mua đồ hành chính,1.833.333,Biến phí,Chi phí hành chính
2023.12,mua 10 túi giấy + ship,Mua đồ hành chính,110.000,Biến phí,Chi phí hành chính
2023.12,"chuyển bàn ghế, máy tính phòng tele qua phòng khám",Mua đồ hành chính,360.000,Biến phí,Chi phí hành chính
2023.12,quầy tpv,Mua đồ hành chính,200.000,Biến phí,Chi phí hành chính
2023.12,"In bảng tên cho 4 sales + 3 phú ta mới Đạt, Kiều, Kha",Mua đồ hành chính,315.000,Biến phí,Chi phí hành chính
2023.12,ship sữa điện thoại cho team sales,Mua đồ hành chính,30.000,Biến phí,Chi phí hành chính
2023.12,mua viên sủi C bổ sung để kháng cho bảo vệ sk trực ngoài nắng),Mua đồ hành chính,112.000,Biến phí,Chi phí hành chính
2023.12,mua đồ cúng giải hạn cho Phòng khám,Mua đồ hành chính,331.667,Biến phí,Chi phí hành chính
2023.12,ship chuyển hợp đồng,Mua đồ hành chính,15.000,Biến phí,Chi phí hành chính
2023.12,nước uống 19l cho VP,Mua đồ hành chính,134.667,Biến phí,Chi phí hành chính
2023.12,mua xịt phòng Sumo 8 chai (50k/chai),Mua đồ hành chính,400.000,Biến phí,Chi phí hành chính
2023.12,xăng xe c oanh,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,72.000,Biến phí,Chi phí hành chính
2023.12,phí ship,Mua đồ hành chính,45.000,Biến phí,Chi phí hành chính
2023.12,cơm trưa,Mua đồ hành chính,267.000,Biến phí,Chi phí hành chính
2023.12,đồ ăn khách,Mua đồ hành chính,100.000,Biến phí,Chi phí hành chính
2023.12,cơm khách,Mua đồ hành chính,45.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,123.000,Biến phí,Chi phí hành chính
2023.12,xăng chị oanh,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,xăng chú đức,Mua đồ hành chính,900.000,Biến phí,Chi phí hành chính
2023.12,cháo khách,Mua đồ hành chính,20.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,627.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,227.000,Biến phí,Chi phí hành chính
2023.12,đồ ăn khách,Mua đồ hành chính,20.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,140.000,Biến phí,Chi phí hành chính
2023.12,xăng xe chú Đức,Mua đồ hành chính,886.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,415.000,Biến phí,Chi phí hành chính
2023.12,xăng xe chị Oanh,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,ship,Mua đồ hành chính,40.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,270.000,Biến phí,Chi phí hành chính
2023.12,đồ ăn khách,Mua đồ hành chính,20.000,Biến phí,Chi phí hành chính
2023.12,xăng xe chú Đức,Mua đồ hành chính,900.000,Biến phí,Chi phí hành chính
2023.12,đồ ăn khách,Mua đồ hành chính,38.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,175.000,Biến phí,Chi phí hành chính
2023.12,xăng xe chị Oanh,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,Cf đãi khacha,Mua đồ hành chính,120.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,730.000,Biến phí,Chi phí hành chính
2023.12,xăng xe a đức,Mua đồ hành chính,900.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,172.000,Biến phí,Chi phí hành chính
2023.12,xăng xe chị Oanh,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,218.000,Biến phí,Chi phí hành chính
2023.12,đồ ăn khách,Mua đồ hành chính,30.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,155.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,547.000,Biến phí,Chi phí hành chính
2023.12,xăng xe chị oanh,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,xăng xe chú Đức,Mua đồ hành chính,900.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,250.000,Biến phí,Chi phí hành chính
2023.12,xăng xe chị Oanh,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,xăng xe anh Đức,Mua đồ hành chính,900.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,325.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,55.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,292.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,247.000,Biến phí,Chi phí hành chính
2023.12,xăng chú Đức,Mua đồ hành chính,900.000,Biến phí,Chi phí hành chính
2023.12,xang chị Oanh,Mua đồ hành chính,1.000.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,35.000,Biến phí,Chi phí hành chính
2023.12,đồ ăn khách,Mua đồ hành chính,45.000,Biến phí,Chi phí hành chính
2023.12,grab khách,Mua đồ hành chính,67.000,Biến phí,Chi phí hành chính
2023.12,grab,Mua đồ hành chính,130.000,Biến phí,Chi phí hành chính
2023.12,ship tài liệu,Mua đồ hành chính,120.000,Biến phí,Chi phí hành chính
2023.12,MKT,Marketing chạy Quảng cáo,740.000.000,Biến phí,Chi phí bán hàng
2023.12,thuê vp,Chi phí Mặt bằng,24.292.000,Định phí,Chi phí QLDN
2023.12,bãi xe+rửa xe cty,Mua đồ hành chính,4.500.000,Biến phí,Chi phí hành chính
2023.12,Số 5 kỳ Đồng,Chi phí Mặt bằng,91.462.500,Định phí,Chi phí QLDN
2023.12,2 xe cty,Mua đồ hành chính,41.000.000,Biến phí,Chi phí hành chính
2023.12,wf,Mua đồ hành chính,0,Biến phí,Chi phí hành chính
2023.12,Điện kỳ đồng,Điện + Nước,9.674.667,Định phí,Chi phí hành chính
2023.12,Nước kỳ đồng t11,Điện + Nước,1.932.549,Định phí,Chi phí hành chính
2023.12,BH NV,Bảo hiểm,33.638.400,Định phí,Chi phí QLDN
2023.12,quỹ thưởng nv T12/23,Quỹ thưởng tổng cuối năm,7.287.500,Định phí,Chi phí khác
2023.12,đô thị,Mua đồ hành chính,2.000.000,Biến phí,Chi phí hành chính
2023.12,thuốc giảm đau,Tiền vật liệu,1.250.000,Biến phí,Chi phí giá vốn
2023.12,"bộ pt, kềm, dd rửa tay",Tiền vật liệu,14.025.000,Biến phí,Chi phí giá vốn
2023.12,phụ kiện ipl(cho khách cũ của San),Tiền vật liệu,50.352.000,Biến phí,Chi phí giá vốn
2023.12,Thanh Ngọc T11,Tiền vật liệu,32.827.000,Biến phí,Chi phí giá vốn
2023.12,mua dt cho sale,Mua sắm tài sản,9.300.000,Chi phí khác,Chi phí khác
2023.12,xq,Mua sắm tài sản,34.015.000,Chi phí khác,Chi phí khác
