THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2023.03,18/03/2023,31.120.000,5.450.000,5.362.800,49.075.000,0,85.645.000,85.557.800
2023.03,19/03/2023,23.655.000,2.450.000,2.410.800,10.810.000,0,36.915.000,36.875.800
2023.03,20/03/2023,14.045.000,4.970.000,4.890.480,8.080.000,0,27.095.000,27.015.480
2023.03,21/03/2023,2.665.000,3.320.000,3.300.080,7.050.000,0,13.035.000,13.015.080
2023.03,22/03/2023,2.825.000,38.405.000,37.796.120,4.550.000,0,45.780.000,45.171.120
2023.03,23/03/2023,1.250.000,7.515.000,7.445.910,26.145.000,0,34.910.000,34.840.910
2023.03,24/03/2023,14.375.000,3.550.000,3.528.700,54.900.000,0,72.825.000,72.803.700
2023.03,25/03/2023,12.010.000,2.110.000,2.076.240,2.960.000,0,17.080.000,17.046.240
2023.03,26/03/2023,8.370.000,3.250.000,3.198.000,25.225.000,0,36.845.000,36.793.000
2023.03,27/03/2023,3.880.000,2.600.000,3.208.400,5.145.000,0,11.625.000,12.233.400
2023.03,28/03/2023,4.060.000,0,0,10.145.000,0,14.205.000,14.205.000
2023.03,29/03/2023,4.145.000,4.000.000,3.949.000,16.690.000,0,24.835.000,24.784.000
2023.03,30/03/2023,4.940.000,2.450.000,2.425.300,17.050.000,0,24.440.000,24.415.300
2023.03,31/03/2023,4.050.000,2.700.000,2.658.800,4.595.000,0,11.345.000,11.303.800
2023.04,01/04/2023,5.960.000,12.625.000,12.421.020,5.090.000,0,23.675.000,23.471.020
2023.04,02/04/2023,13.855.000,8.295.000,8.154.570,10.075.000,0,32.225.000,32.084.570
2023.04,03/04/2023,13.930.000,2.400.000,2.373.600,42.595.000,0,58.925.000,58.898.600
2023.04,04/04/2023,11.650.000,5.950.000,5.854.800,24.685.000,0,42.285.000,42.189.800
2023.04,05/04/2023,8.615.000,5.635.000,5.544.840,19.880.000,0,34.130.000,34.039.840
2023.04,06/04/2023,3.850.000,14.600.000,14.439.200,12.460.000,0,30.910.000,30.749.200
2023.04,07/04/2023,6.300.000,19.450.000,19.202.800,24.210.000,0,49.960.000,49.712.800
2023.04,08/04/2023,27.680.000,7.060.000,6.938.140,29.600.000,0,64.340.000,64.218.140
2023.04,09/04/2023,17.205.000,2.400.000,2.361.600,6.450.000,0,26.055.000,26.016.600
2023.04,10/04/2023,2.745.000,6.270.000,6.192.130,30.370.000,0,39.385.000,39.307.130
2023.04,11/04/2023,7.900.000,4.825.000,4.748.168,14.300.000,0,27.025.000,26.948.168
2023.04,12/04/2023,13.345.000,4.390.000,4.333.360,20.680.000,0,38.415.000,38.358.360
2023.04,13/04/2023,9.850.000,2.350.000,2.311.400,15.400.000,0,27.600.000,27.561.400
2023.04,14/04/2023,7.500.000,4.750.000,4.709.000,15.010.000,0,27.260.000,27.219.000
